2026-09-10T17:47:31.195584+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:47:31.195463Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 65946, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 33, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 24, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.799352ms, last_active_send_gap_unix_ms: 1789062413893 } })
2026-09-10T17:48:31.194633+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:48:31.194431Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 68946, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 33, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 24, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.799352ms, last_active_send_gap_unix_ms: 1789062413893 } })
2026-09-10T17:49:31.194554+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:49:31.194494Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(7), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 71946, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 33, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 24, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.799352ms, last_active_send_gap_unix_ms: 1789062413893 } })
2026-09-10T17:50:23.694144+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:50:23.694086Z  INFO raydio::session: track finished generation=7 position_ms=212580
2026-09-10T17:50:23.696039+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:50:23.696005Z  INFO raydio::session: track started generation=8
2026-09-10T17:50:31.195489+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:50:31.195370Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 74946, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 33, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 24, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.799352ms, last_active_send_gap_unix_ms: 1789062413893 } })
2026-09-10T17:51:31.194660+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:51:31.194537Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 77945, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 33, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 24, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 58.799352ms, last_active_send_gap_unix_ms: 1789062413893 } })
2026-09-10T17:52:31.194896+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:52:31.194829Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 80938, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 37, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 28, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 59.270009ms, last_active_send_gap_unix_ms: 1789062728491 } })
2026-09-10T17:53:31.195564+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:53:31.195452Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(8), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 83924, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 45, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 33, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.892351ms, last_active_send_gap_unix_ms: 1789062808792 } })
2026-09-10T17:53:57.193250+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:53:57.193201Z  INFO raydio::session: track finished generation=8 position_ms=212080
2026-09-10T17:53:57.194693+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:53:57.194628Z  INFO raydio::session: track started generation=9
2026-09-10T17:54:31.195043+00:00 raydio-vnic raydio[11663]: 2026-09-10T17:54:31.194978Z  INFO crust_oto_adapter: voice diagnostic checkpoint connection_generation=1 connection_phase=Connected failure=None audio=Some(AudioSnapshot { generation: SourceGeneration(9), phase: Sending, failure: None, dave_failure: None, dave_context: None, stats: AudioStats { frames_sent: 86924, silence_frames_sent: 1, frames_unavailable: 1, skipped_deadlines: 45, send_failures: 0, source_overruns: 0, max_lateness: 60.193484ms, last_source_overrun_wall: 0ns, last_source_overrun_cpu: 0ns, active_send_gaps_40ms: 33, active_send_gaps_100ms: 0, active_send_gaps_1s: 0, max_active_send_gap: 79.527047ms, last_active_send_gap: 78.892351ms, last_active_send_gap_unix_ms: 1789062808792 } })
